,sourceId,referenceTime,elementId,value,unit,timeOffset,timeResolution,month,year,season
0,SN90450:0,1924-10-01 00:00:00+00:00,mean(air_temperature P1M),5.6,degC,PT0H,P1M,October,1924,1924/1925
1,SN90450:0,1924-11-01 00:00:00+00:00,mean(air_temperature P1M),0.1,degC,PT0H,P1M,November,1924,1924/1925
2,SN90450:0,1924-12-01 00:00:00+00:00,mean(air_temperature P1M),-0.6,degC,PT0H,P1M,December,1924,1924/1925
3,SN90450:0,1925-01-01 00:00:00+00:00,mean(air_temperature P1M),0.4,degC,PT0H,P1M,January,1925,1924/1925
4,SN90450:0,1925-02-01 00:00:00+00:00,mean(air_temperature P1M),-2.9,degC,PT0H,P1M,February,1925,1924/1925
5,SN90450:0,1925-03-01 00:00:00+00:00,mean(air_temperature P1M),-4.9,degC,PT0H,P1M,March,1925,1924/1925
6,SN90450:0,1925-04-01 00:00:00+00:00,mean(air_temperature P1M),1.3,degC,PT0H,P1M,April,1925,1924/1925
7,SN90450:0,1925-05-01 00:00:00+00:00,mean(air_temperature P1M),4.2,degC,PT0H,P1M,May,1925,1924/1925
8,SN90450:0,1925-10-01 00:00:00+00:00,mean(air_temperature P1M),0.1,degC,PT0H,P1M,October,1925,1925/1926
9,SN90450:0,1925-11-01 00:00:00+00:00,mean(air_temperature P1M),-2.7,degC,PT0H,P1M,November,1925,1925/1926
10,SN90450:0,1925-12-01 00:00:00+00:00,mean(air_temperature P1M),-4.7,degC,PT0H,P1M,December,1925,1925/1926
11,SN90450:0,1926-01-01 00:00:00+00:00,mean(air_temperature P1M),-3.8,degC,PT0H,P1M,January,1926,1925/1926
12,SN90450:0,1926-02-01 00:00:00+00:00,mean(air_temperature P1M),-3.8,degC,PT0H,P1M,February,1926,1925/1926
13,SN90450:0,1926-03-01 00:00:00+00:00,mean(air_temperature P1M),-1.8,degC,PT0H,P1M,March,1926,1925/1926
14,SN90450:0,1926-04-01 00:00:00+00:00,mean(air_temperature P1M),-0.1,degC,PT0H,P1M,April,1926,1925/1926
15,SN90450:0,1926-05-01 00:00:00+00:00,mean(air_temperature P1M),3.0,degC,PT0H,P1M,May,1926,1925/1926
16,SN90450:0,1926-10-01 00:00:00+00:00,mean(air_temperature P1M),-1.2,degC,PT0H,P1M,October,1926,1926/1927
17,SN90450:0,1926-11-01 00:00:00+00:00,mean(air_temperature P1M),-0.5,degC,PT0H,P1M,November,1926,1926/1927
18,SN90450:0,1926-12-01 00:00:00+00:00,mean(air_temperature P1M),-4.8,degC,PT0H,P1M,December,1926,1926/1927
19,SN90450:0,1927-01-01 00:00:00+00:00,mean(air_temperature P1M),-5.3,degC,PT0H,P1M,January,1927,1926/1927
20,SN90450:0,1927-02-01 00:00:00+00:00,mean(air_temperature P1M),-2.5,degC,PT0H,P1M,February,1927,1926/1927
21,SN90450:0,1927-03-01 00:00:00+00:00,mean(air_temperature P1M),-3.0,degC,PT0H,P1M,March,1927,1926/1927
22,SN90450:0,1927-04-01 00:00:00+00:00,mean(air_temperature P1M),-1.0,degC,PT0H,P1M,April,1927,1926/1927
23,SN90450:0,1927-05-01 00:00:00+00:00,mean(air_temperature P1M),2.4,degC,PT0H,P1M,May,1927,1926/1927
24,SN90450:0,1927-10-01 00:00:00+00:00,mean(air_temperature P1M),0.5,degC,PT0H,P1M,October,1927,1927/1928
25,SN90450:0,1927-11-01 00:00:00+00:00,mean(air_temperature P1M),-1.6,degC,PT0H,P1M,November,1927,1927/1928
26,SN90450:0,1927-12-01 00:00:00+00:00,mean(air_temperature P1M),-2.5,degC,PT0H,P1M,December,1927,1927/1928
27,SN90450:0,1928-01-01 00:00:00+00:00,mean(air_temperature P1M),-2.1,degC,PT0H,P1M,January,1928,1927/1928
28,SN90450:0,1928-02-01 00:00:00+00:00,mean(air_temperature P1M),-1.5,degC,PT0H,P1M,February,1928,1927/1928
29,SN90450:0,1928-03-01 00:00:00+00:00,mean(air_temperature P1M),-1.3,degC,PT0H,P1M,March,1928,1927/1928
30,SN90450:0,1928-04-01 00:00:00+00:00,mean(air_temperature P1M),0.4,degC,PT0H,P1M,April,1928,1927/1928
31,SN90450:0,1928-05-01 00:00:00+00:00,mean(air_temperature P1M),3.3,degC,PT0H,P1M,May,1928,1927/1928
32,SN90450:0,1928-10-01 00:00:00+00:00,mean(air_temperature P1M),1.1,degC,PT0H,P1M,October,1928,1928/1929
33,SN90450:0,1928-11-01 00:00:00+00:00,mean(air_temperature P1M),-1.6,degC,PT0H,P1M,November,1928,1928/1929
34,SN90450:0,1928-12-01 00:00:00+00:00,mean(air_temperature P1M),-1.9,degC,PT0H,P1M,December,1928,1928/1929
35,SN90450:0,1929-01-01 00:00:00+00:00,mean(air_temperature P1M),-4.0,degC,PT0H,P1M,January,1929,1928/1929
36,SN90450:0,1929-02-01 00:00:00+00:00,mean(air_temperature P1M),-2.6,degC,PT0H,P1M,February,1929,1928/1929
37,SN90450:0,1929-03-01 00:00:00+00:00,mean(air_temperature P1M),-2.6,degC,PT0H,P1M,March,1929,1928/1929
38,SN90450:0,1929-04-01 00:00:00+00:00,mean(air_temperature P1M),-3.2,degC,PT0H,P1M,April,1929,1928/1929
39,SN90450:0,1929-05-01 00:00:00+00:00,mean(air_temperature P1M),4.9,degC,PT0H,P1M,May,1929,1928/1929
40,SN90450:0,1929-10-01 00:00:00+00:00,mean(air_temperature P1M),2.2,degC,PT0H,P1M,October,1929,1929/1930
41,SN90450:0,1929-11-01 00:00:00+00:00,mean(air_temperature P1M),1.4,degC,PT0H,P1M,November,1929,1929/1930
42,SN90450:0,1929-12-01 00:00:00+00:00,mean(air_temperature P1M),1.5,degC,PT0H,P1M,December,1929,1929/1930
43,SN90450:0,1930-01-01 00:00:00+00:00,mean(air_temperature P1M),-1.0,degC,PT0H,P1M,January,1930,1929/1930
44,SN90450:0,1930-02-01 00:00:00+00:00,mean(air_temperature P1M),-1.5,degC,PT0H,P1M,February,1930,1929/1930
45,SN90450:0,1930-03-01 00:00:00+00:00,mean(air_temperature P1M),-3.3,degC,PT0H,P1M,March,1930,1929/1930
46,SN90450:0,1930-04-01 00:00:00+00:00,mean(air_temperature P1M),2.2,degC,PT0H,P1M,April,1930,1929/1930
47,SN90450:0,1930-05-01 00:00:00+00:00,mean(air_temperature P1M),5.9,degC,PT0H,P1M,May,1930,1929/1930
48,SN90450:0,1930-10-01 00:00:00+00:00,mean(air_temperature P1M),2.7,degC,PT0H,P1M,October,1930,1930/1931
49,SN90450:0,1930-11-01 00:00:00+00:00,mean(air_temperature P1M),-1.0,degC,PT0H,P1M,November,1930,1930/1931
50,SN90450:0,1930-12-01 00:00:00+00:00,mean(air_temperature P1M),-0.7,degC,PT0H,P1M,December,1930,1930/1931
51,SN90450:0,1931-01-01 00:00:00+00:00,mean(air_temperature P1M),-3.5,degC,PT0H,P1M,January,1931,1930/1931
52,SN90450:0,1931-02-01 00:00:00+00:00,mean(air_temperature P1M),-2.8,degC,PT0H,P1M,February,1931,1930/1931
53,SN90450:0,1931-03-01 00:00:00+00:00,mean(air_temperature P1M),-3.7,degC,PT0H,P1M,March,1931,1930/1931
54,SN90450:0,1931-04-01 00:00:00+00:00,mean(air_temperature P1M),1.0,degC,PT0H,P1M,April,1931,1930/1931
55,SN90450:0,1931-05-01 00:00:00+00:00,mean(air_temperature P1M),4.0,degC,PT0H,P1M,May,1931,1930/1931
56,SN90450:0,1931-10-01 00:00:00+00:00,mean(air_temperature P1M),1.7,degC,PT0H,P1M,October,1931,1931/1932
57,SN90450:0,1931-11-01 00:00:00+00:00,mean(air_temperature P1M),2.1,degC,PT0H,P1M,November,1931,1931/1932
58,SN90450:0,1931-12-01 00:00:00+00:00,mean(air_temperature P1M),-0.4,degC,PT0H,P1M,December,1931,1931/1932
59,SN90450:0,1932-01-01 00:00:00+00:00,mean(air_temperature P1M),-1.6,degC,PT0H,P1M,January,1932,1931/1932
60,SN90450:0,1932-02-01 00:00:00+00:00,mean(air_temperature P1M),-2.0,degC,PT0H,P1M,February,1932,1931/1932
61,SN90450:0,1932-03-01 00:00:00+00:00,mean(air_temperature P1M),-2.8,degC,PT0H,P1M,March,1932,1931/1932
62,SN90450:0,1932-04-01 00:00:00+00:00,mean(air_temperature P1M),-0.2,degC,PT0H,P1M,April,1932,1931/1932
63,SN90450:0,1932-05-01 00:00:00+00:00,mean(air_temperature P1M),2.3,degC,PT0H,P1M,May,1932,1931/1932
64,SN90450:0,1932-10-01 00:00:00+00:00,mean(air_temperature P1M),1.0,degC,PT0H,P1M,October,1932,1932/1933
65,SN90450:0,1932-11-01 00:00:00+00:00,mean(air_temperature P1M),0.1,degC,PT0H,P1M,November,1932,1932/1933
66,SN90450:0,1932-12-01 00:00:00+00:00,mean(air_temperature P1M),1.5,degC,PT0H,P1M,December,1932,1932/1933
67,SN90450:0,1933-01-01 00:00:00+00:00,mean(air_temperature P1M),-0.2,degC,PT0H,P1M,January,1933,1932/1933
