,season,ski_days
0,1924/1925,35
1,1925/1926,68
2,1926/1927,144
3,1927/1928,39
4,1928/1929,49
5,1929/1930,35
6,1930/1931,92
7,1931/1932,142
8,1932/1933,91
9,1933/1934,121
10,1934/1935,92
11,1935/1936,99
12,1936/1937,100
13,1937/1938,83
14,1938/1939,120
15,1939/1940,119
16,1940/1941,182
17,1941/1942,119
18,1942/1943,171
19,1943/1944,131
20,1944/1945,129
21,1945/1946,120
22,1946/1947,68
23,1947/1948,105
24,1948/1949,116
25,1949/1950,56
26,1950/1951,71
27,1951/1952,160
28,1952/1953,169
29,1953/1954,124
30,1954/1955,152
31,1955/1956,139
32,1956/1957,93
33,1957/1958,161
34,1958/1959,70
35,1959/1960,68
36,1960/1961,177
37,1961/1962,154
38,1962/1963,165
39,1963/1964,109
40,1964/1965,163
41,1965/1966,166
42,1966/1967,104
43,1967/1968,161
44,1968/1969,70
45,1969/1970,173
46,1970/1971,196
47,1971/1972,176
48,1972/1973,105
49,1973/1974,178
50,1974/1975,112
51,1975/1976,164
52,1976/1977,135
53,1977/1978,159
54,1978/1979,165
55,1979/1980,146
56,1980/1981,191
57,1981/1982,160
58,1982/1983,140
59,1983/1984,187
60,1984/1985,122
61,1985/1986,148
62,1986/1987,117
63,1987/1988,173
64,1988/1989,170
65,1989/1990,145
66,1990/1991,156
67,1991/1992,129
68,1992/1993,166
69,1993/1994,132
70,1994/1995,152
71,1995/1996,210
72,1996/1997,190
73,1997/1998,125
74,1998/1999,118
75,1999/2000,174
76,2000/2001,108
77,2001/2002,136
78,2002/2003,91
79,2003/2004,123
80,2004/2005,140
81,2005/2006,63
82,2006/2007,131
83,2007/2008,103
84,2008/2009,138
85,2009/2010,110
86,2010/2011,142
87,2011/2012,82
88,2012/2013,119
89,2013/2014,172
90,2014/2015,104
91,2015/2016,130
92,2016/2017,114
93,2017/2018,156
94,2018/2019,144
95,2019/2020,206
96,2020/2021,103
97,2021/2022,132
98,2022/2023,142
99,2023/2024,168
