,season,value
0,1924/1925,0.3999999999999999
1,1925/1926,-1.7249999999999999
2,1926/1927,-1.9875
3,1927/1928,-0.6000000000000001
4,1928/1929,-1.2375
5,1929/1930,0.925
6,1930/1931,-0.5
7,1931/1932,-0.11249999999999999
8,1932/1933,-0.6
9,1933/1934,0.1875
10,1934/1935,-0.16249999999999995
11,1935/1936,-0.7750000000000001
12,1936/1937,0.41250000000000003
13,1937/1938,0.11249999999999999
14,1938/1939,0.2749999999999999
15,1939/1940,-1.0625
16,1940/1941,-1.8875
17,1941/1942,-2.1375
18,1942/1943,-0.875
19,1943/1944,0.11249999999999993
20,1944/1945,0.35000000000000003
21,1945/1946,-1.2374999999999998
22,1946/1947,-1.1125
23,1947/1948,-0.875
24,1948/1949,0.25000000000000006
25,1949/1950,-0.2750000000000001
26,1950/1951,-0.7249999999999999
27,1951/1952,-0.65
28,1952/1953,-1.4875
29,1953/1954,0.8375
30,1954/1955,-1.6
31,1955/1956,-2.3375
32,1956/1957,-0.6000000000000002
33,1957/1958,-1.4875
34,1958/1959,0.6000000000000001
35,1959/1960,0.26250000000000007
36,1960/1961,-1.1500000000000001
37,1961/1962,-0.9874999999999998
38,1962/1963,-1.075
39,1963/1964,0.16249999999999998
40,1964/1965,-0.8625
41,1965/1966,-3.3
42,1966/1967,-0.675
43,1967/1968,-2.025
44,1968/1969,-1.2875
45,1969/1970,-1.3624999999999998
46,1970/1971,-1.6875
47,1971/1972,-0.5125
48,1972/1973,0.1750000000000001
49,1973/1974,-0.9
50,1974/1975,-0.26250000000000007
51,1975/1976,-0.6749999999999999
52,1976/1977,-2.025
53,1977/1978,-1.525
54,1978/1979,-1.8
55,1979/1980,-0.7250000000000001
56,1980/1981,-2.1125
57,1981/1982,-1.4125
58,1982/1983,0.17500000000000004
59,1983/1984,-0.7000000000000001
60,1984/1985,-1.1624999999999999
61,1985/1986,-1.0125000000000002
62,1986/1987,-1.8
63,1987/1988,-1.3875
64,1988/1989,-0.125
65,1989/1990,-0.10000000000000003
66,1990/1991,0.13749999999999996
67,1991/1992,0.7125
68,1992/1993,-0.6875
69,1993/1994,-0.9124999999999999
70,1994/1995,-0.125
71,1995/1996,-1.4500000000000002
72,1996/1997,-1.5375
73,1997/1998,-1.35
74,1998/1999,-0.8875
75,1999/2000,-0.36250000000000004
76,2000/2001,-0.5750000000000002
77,2001/2002,0.08749999999999991
78,2002/2003,-0.7249999999999999
79,2003/2004,0.4500000000000001
80,2004/2005,0.5249999999999999
81,2005/2006,0.9375
82,2006/2007,0.1625000000000001
83,2007/2008,0.7125
84,2008/2009,0.21250000000000002
85,2009/2010,-0.95
86,2010/2011,-0.27500000000000013
87,2011/2012,0.8
88,2012/2013,0.012499999999999956
89,2013/2014,0.10000000000000009
90,2014/2015,0.6875000000000001
91,2015/2016,1.1125
92,2016/2017,0.3125
93,2017/2018,-0.2250000000000001
94,2018/2019,0.43750000000000006
95,2019/2020,-0.36249999999999993
96,2020/2021,0.5375
97,2021/2022,0.0
98,2022/2023,0.4749999999999999
99,2023/2024,-0.5750000000000001
