,sourceId,referenceTime,elementId,value,unit,timeOffset,timeResolution,year,month,season
0,SN90450:0,1924-10-01 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
1,SN90450:0,1924-10-02 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
2,SN90450:0,1924-10-03 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
3,SN90450:0,1924-10-04 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
4,SN90450:0,1924-10-05 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
5,SN90450:0,1924-10-06 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
6,SN90450:0,1924-10-07 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
7,SN90450:0,1924-10-08 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
8,SN90450:0,1924-10-09 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
9,SN90450:0,1924-10-10 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
10,SN90450:0,1924-10-11 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
11,SN90450:0,1924-10-12 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
12,SN90450:0,1924-10-13 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
13,SN90450:0,1924-10-14 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
14,SN90450:0,1924-10-15 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
15,SN90450:0,1924-10-16 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
16,SN90450:0,1924-10-17 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
17,SN90450:0,1924-10-18 00:00:00+00:00,surface_snow_thickness,0,cm,PT6H,P1D,1924,October,1924/1925
